X,Y,Z,Polar,Azimuth,Elevation,Frequency,Magnitude,Phase
0.0,0.0,0.0,0.0,-90.0,-90.0,8000000000.0,4.247223676306441e-06,81.48189425796262
0.0,0.0,0.0,0.0,-90.0,-90.0,8250000000.0,0.0001009991176397,-166.70597517700932
0.0,0.0,0.0,0.0,-90.0,-90.0,8500000000.0,2.513915372051128e-05,-82.29168655922568
0.0,0.0,0.0,0.0,-90.0,-90.0,8750000000.0,7.204179185143162e-05,74.20765931795302
0.0,0.0,0.0,0.0,-90.0,-90.0,9000000000.0,5.716198545054222e-05,128.46971283593575
0.0,0.0,0.0,0.0,-90.0,-90.0,9250000000.0,4.799699467617944e-05,-89.05597838820613
0.0,0.0,0.0,0.0,-90.0,-90.0,9500000000.0,3.790869816019042e-05,7.286272762847931
0.0,0.0,0.0,0.0,-90.0,-90.0,9750000000.0,1.1500284955295673e-05,-119.40707384859472
0.0,0.0,0.0,0.0,-90.0,-90.0,10000000000.0,3.261620680633786e-05,21.376103186882045
0.0,0.0,0.0,0.0,-90.0,-90.0,10250000000.0,1.6612687568148026e-05,-47.81342674929677
0.0,0.0,0.0,0.0,-90.0,-90.0,10500000000.0,1.7814908001025435e-05,-138.60180093840086
0.0,0.0,0.0,0.0,-90.0,-90.0,10750000000.0,1.8326884754764952e-05,-72.30126301069946
0.0,0.0,0.0,0.0,-90.0,-90.0,11000000000.0,1.602044745769431e-05,82.21863415893745
0.0,0.0,0.0,0.0,-90.0,-90.0,11250000000.0,7.686897027300222e-06,31.22719806089812
0.0,0.0,0.0,0.0,-90.0,-90.0,11500000000.0,2.873805438986997e-06,105.92446347250248
0.0,0.0,0.0,0.0,-90.0,-90.0,11750000000.0,2.5191648040458984e-06,-72.58155437991857
0.0,0.0,0.0,0.0,-90.0,-90.0,12000000000.0,5.413437137577197e-06,-50.44417141951694
0.0,0.0,0.0,0.0,-90.0,-90.0,12250000000.0,8.201768235633216e-06,-146.2707270002847
0.0,0.0,0.0,0.0,-90.0,-90.0,12500000000.0,1.8000627096215288e-05,126.12405793868751
0.0,0.0,0.0,0.0,-90.0,-90.0,12750000000.0,1.3385358590445906e-05,-78.89501653110742
0.0,0.0,0.0,0.0,-90.0,-90.0,13000000000.0,2.272989278905488e-05,15.811585112103945
0.0,0.0,0.0,0.0,-90.0,-85.0,8000000000.0,1.2576979750306868e-05,66.15196353872405
0.0,0.0,0.0,0.0,-90.0,-85.0,8250000000.0,9.779541253920708e-05,-172.32342541119576
0.0,0.0,0.0,0.0,-90.0,-85.0,8500000000.0,1.8362459477796e-05,-51.3073279716269
0.0,0.0,0.0,0.0,-90.0,-85.0,8750000000.0,6.34647178651099e-05,63.83292174627988
0.0,0.0,0.0,0.0,-90.0,-85.0,9000000000.0,5.754022688151742e-05,124.16736149740264
0.0,0.0,0.0,0.0,-90.0,-85.0,9250000000.0,4.880036214264797e-05,-94.97423129950371
0.0,0.0,0.0,0.0,-90.0,-85.0,9500000000.0,3.648904668076139e-05,11.60630025766795
0.0,0.0,0.0,0.0,-90.0,-85.0,9750000000.0,1.094196041890739e-05,-121.1521336093384
0.0,0.0,0.0,0.0,-90.0,-85.0,10000000000.0,2.962392679465248e-05,19.66988150349572
0.0,0.0,0.0,0.0,-90.0,-85.0,10250000000.0,9.19809122222225e-06,-51.83562750570587
0.0,0.0,0.0,0.0,-90.0,-85.0,10500000000.0,1.2609732831627364e-05,-163.62765596177047
0.0,0.0,0.0,0.0,-90.0,-85.0,10750000000.0,1.8153793015571152e-05,-56.55962791021727
0.0,0.0,0.0,0.0,-90.0,-85.0,11000000000.0,1.927492305671929e-05,78.84638716640283
0.0,0.0,0.0,0.0,-90.0,-85.0,11250000000.0,1.0269304715811094e-05,13.72367786516678
0.0,0.0,0.0,0.0,-90.0,-85.0,11500000000.0,4.737689811874982e-06,154.44019990213818
0.0,0.0,0.0,0.0,-90.0,-85.0,11750000000.0,2.537779081492516e-06,-43.89900816163576
0.0,0.0,0.0,0.0,-90.0,-85.0,12000000000.0,5.222473837278651e-06,-57.9237900468857
0.0,0.0,0.0,0.0,-90.0,-85.0,12250000000.0,8.219634625402883e-06,-142.35546254094592
0.0,0.0,0.0,0.0,-90.0,-85.0,12500000000.0,1.841978704226789e-05,124.83401471634504
0.0,0.0,0.0,0.0,-90.0,-85.0,12750000000.0,9.64573986274993e-06,-88.33614729993769
0.0,0.0,0.0,0.0,-90.0,-85.0,13000000000.0,1.7877767395452486e-05,13.606713419985036
0.0,0.0,0.0,0.0,-90.0,-80.0,8000000000.0,1.870986834401835e-05,51.78074592275838
0.0,0.0,0.0,0.0,-90.0,-80.0,8250000000.0,9.412378404265442e-05,-177.76871468746992
0.0,0.0,0.0,0.0,-90.0,-80.0,8500000000.0,2.199392897606665e-05,-21.87522489159372
0.0,0.0,0.0,0.0,-90.0,-80.0,8750000000.0,5.244074107237044e-05,54.06380476498229
0.0,0.0,0.0,0.0,-90.0,-80.0,9000000000.0,5.855155047810263e-05,120.15378462926168
0.0,0.0,0.0,0.0,-90.0,-80.0,9250000000.0,4.669424414135241e-05,-99.27446643246982
0.0,0.0,0.0,0.0,-90.0,-80.0,9500000000.0,3.5120043166863336e-05,11.189221981457257
0.0,0.0,0.0,0.0,-90.0,-80.0,9750000000.0,8.255908489238783e-06,-118.6328072180888
0.0,0.0,0.0,0.0,-90.0,-80.0,10000000000.0,2.7943946878616645e-05,15.245912643253927
0.0,0.0,0.0,0.0,-90.0,-80.0,10250000000.0,5.273621826223227e-06,-30.76277710544642
0.0,0.0,0.0,0.0,-90.0,-80.0,10500000000.0,5.564599762634686e-06,165.76677955026378
0.0,0.0,0.0,0.0,-90.0,-80.0,10750000000.0,1.9817022244252545e-05,-58.60169182266954
0.0,0.0,0.0,0.0,-90.0,-80.0,11000000000.0,2.052445022041721e-05,82.82792222807818
0.0,0.0,0.0,0.0,-90.0,-80.0,11250000000.0,1.283644085422562e-05,-2.442380835357065
0.0,0.0,0.0,0.0,-90.0,-80.0,11500000000.0,6.019163835684239e-06,149.49921075472668
0.0,0.0,0.0,0.0,-90.0,-80.0,11750000000.0,1.5400842382976667e-06,1.7644723487270315
0.0,0.0,0.0,0.0,-90.0,-80.0,12000000000.0,5.366643086824855e-06,-75.7671265467497
0.0,0.0,0.0,0.0,-90.0,-80.0,12250000000.0,6.708217550093094e-06,-148.57803252359162
0.0,0.0,0.0,0.0,-90.0,-80.0,12500000000.0,1.7719480699433605e-05,125.24005017085638
0.0,0.0,0.0,0.0,-90.0,-80.0,12750000000.0,9.429156492440069e-06,-90.87339380209434
0.0,0.0,0.0,0.0,-90.0,-80.0,13000000000.0,1.4598462528728976e-05,15.270750700358178
0.0,0.0,0.0,0.0,-90.0,-75.0,8000000000.0,2.373969424344172e-05,38.5348347179967
0.0,0.0,0.0,0.0,-90.0,-75.0,8250000000.0,9.00976850149148e-05,177.859522924283
0.0,0.0,0.0,0.0,-90.0,-75.0,8500000000.0,2.7708205853353192e-05,-12.039966619584307
0.0,0.0,0.0,0.0,-90.0,-75.0,8750000000.0,4.13637404794344e-05,44.91606003047502
0.0,0.0,0.0,0.0,-90.0,-75.0,9000000000.0,5.856586662384841e-05,115.53313350453976
0.0,0.0,0.0,0.0,-90.0,-75.0,9250000000.0,4.386483861693783e-05,-103.58283826844782
0.0,0.0,0.0,0.0,-90.0,-75.0,9500000000.0,3.196929770031703e-05,7.772784269020082
0.0,0.0,0.0,0.0,-90.0,-75.0,9750000000.0,6.13292637653225e-06,-127.38659116827168
0.0,0.0,0.0,0.0,-90.0,-75.0,10000000000.0,2.6625312770677925e-05,14.871396298804708
0.0,0.0,0.0,0.0,-90.0,-75.0,10250000000.0,4.542845849158103e-06,-14.529563922858763
0.0,0.0,0.0,0.0,-90.0,-75.0,10500000000.0,3.896782851535353e-06,122.29135383414256
0.0,0.0,0.0,0.0,-90.0,-75.0,10750000000.0,1.8831577639419407e-05,-60.417367173231945
0.0,0.0,0.0,0.0,-90.0,-75.0,11000000000.0,2.158285155351176e-05,82.69831811766564
0.0,0.0,0.0,0.0,-90.0,-75.0,11250000000.0,1.4573817590841596e-05,-9.623225389505606
0.0,0.0,0.0,0.0,-90.0,-75.0,11500000000.0,6.72304769594579e-06,155.18532890067016
0.0,0.0,0.0,0.0,-90.0,-75.0,11750000000.0,2.058568344736788e-06,19.101183812572657
0.0,0.0,0.0,0.0,-90.0,-75.0,12000000000.0,3.959247405871882e-06,-89.47311215029967
0.0,0.0,0.0,0.0,-90.0,-75.0,12250000000.0,5.860267460668071e-06,-145.86126924467197
0.0,0.0,0.0,0.0,-90.0,-75.0,12500000000.0,1.6547187796169504e-05,120.66598427119791
0.0,0.0,0.0,0.0,-90.0,-75.0,12750000000.0,8.976273605521882e-06,-91.44628600269688
0.0,0.0,0.0,0.0,-90.0,-75.0,13000000000.0,1.2229517132457398e-05,8.408108321912042
0.0,0.0,0.0,0.0,-90.0,-70.0,8000000000.0,2.774450777724485e-05,30.20754891594706
0.0,0.0,0.0,0.0,-90.0,-70.0,8250000000.0,8.464439298754052e-05,175.5992501987939
0.0,0.0,0.0,0.0,-90.0,-70.0,8500000000.0,2.816277048795775e-05,-7.231562018087597
0.0,0.0,0.0,0.0,-90.0,-70.0,8750000000.0,3.15426856252444e-05,35.47139941790663
0.0,0.0,0.0,0.0,-90.0,-70.0,9000000000.0,5.6626149468779e-05,110.08395198062694
0.0,0.0,0.0,0.0,-90.0,-70.0,9250000000.0,4.005822222158642e-05,-108.252642641554
0.0,0.0,0.0,0.0,-90.0,-70.0,9500000000.0,2.7170434318851604e-05,2.940099097625483
0.0,0.0,0.0,0.0,-90.0,-70.0,9750000000.0,3.982323798078314e-06,-172.39529812568756
0.0,0.0,0.0,0.0,-90.0,-70.0,10000000000.0,2.627849286623759e-05,9.025206261609464
0.0,0.0,0.0,0.0,-90.0,-70.0,10250000000.0,2.668728742520596e-06,-20.73006697845248
0.0,0.0,0.0,0.0,-90.0,-70.0,10500000000.0,5.270527335123118e-06,78.7860746205985
0.0,0.0,0.0,0.0,-90.0,-70.0,10750000000.0,1.9136278675335728e-05,-60.56586116914582
0.0,0.0,0.0,0.0,-90.0,-70.0,11000000000.0,2.0759536915309168e-05,82.56399826525113
0.0,0.0,0.0,0.0,-90.0,-70.0,11250000000.0,1.5629001634833398e-05,-15.416952341877932
0.0,0.0,0.0,0.0,-90.0,-70.0,11500000000.0,6.891170886156431e-06,163.47304090643823
0.0,0.0,0.0,0.0,-90.0,-70.0,11750000000.0,2.238666540124029e-06,11.481325597414935
0.0,0.0,0.0,0.0,-90.0,-70.0,12000000000.0,3.479586907020826e-06,-97.1410760550238
0.0,0.0,0.0,0.0,-90.0,-70.0,12250000000.0,5.372682968236355e-06,-144.40460562398937
0.0,0.0,0.0,0.0,-90.0,-70.0,12500000000.0,1.5526054703148383e-05,117.86372844717656
0.0,0.0,0.0,0.0,-90.0,-70.0,12750000000.0,9.39092116874358e-06,-92.56150061236096
0.0,0.0,0.0,0.0,-90.0,-70.0,13000000000.0,8.455545549645621e-06,0.6127586037606396
0.0,0.0,0.0,0.0,-90.0,-65.0,8000000000.0,3.0846965685723446e-05,22.17987633747567
0.0,0.0,0.0,0.0,-90.0,-65.0,8250000000.0,7.970390853189977e-05,173.87744331784566
0.0,0.0,0.0,0.0,-90.0,-65.0,8500000000.0,2.6720764459034264e-05,-1.1661603623371388
0.0,0.0,0.0,0.0,-90.0,-65.0,8750000000.0,2.540046097399148e-05,23.11385236303499
0.0,0.0,0.0,0.0,-90.0,-65.0,9000000000.0,5.283008093639267e-05,106.18001934528552
0.0,0.0,0.0,0.0,-90.0,-65.0,9250000000.0,3.558867768470894e-05,-113.1742863137722
0.0,0.0,0.0,0.0,-90.0,-65.0,9500000000.0,2.202012999106865e-05,-2.882981942425614
0.0,0.0,0.0,0.0,-90.0,-65.0,9750000000.0,4.646410328403745e-06,139.3891997026431
0.0,0.0,0.0,0.0,-90.0,-65.0,10000000000.0,2.472158845048873e-05,1.7866573875224314
0.0,0.0,0.0,0.0,-90.0,-65.0,10250000000.0,9.183918483211892e-07,30.92558893493384
0.0,0.0,0.0,0.0,-90.0,-65.0,10500000000.0,7.387755228679683e-06,53.92223153346927
0.0,0.0,0.0,0.0,-90.0,-65.0,10750000000.0,1.9960982221585088e-05,-65.04708487376253
0.0,0.0,0.0,0.0,-90.0,-65.0,11000000000.0,2.0374730650587283e-05,84.76147029804322
0.0,0.0,0.0,0.0,-90.0,-65.0,11250000000.0,1.6250859277148518e-05,-22.426700278898757
0.0,0.0,0.0,0.0,-90.0,-65.0,11500000000.0,7.721066529139353e-06,167.15555999737057
0.0,0.0,0.0,0.0,-90.0,-65.0,11750000000.0,1.914710735190433e-06,25.5011630791539
0.0,0.0,0.0,0.0,-90.0,-65.0,12000000000.0,3.3843336740885657e-06,-95.26978765331448
0.0,0.0,0.0,0.0,-90.0,-65.0,12250000000.0,5.5991149251124505e-06,-140.66254447736014
0.0,0.0,0.0,0.0,-90.0,-65.0,12500000000.0,1.410626057963715e-05,114.41612988703656
0.0,0.0,0.0,0.0,-90.0,-65.0,12750000000.0,8.59912499039225e-06,-89.67895752321425
0.0,0.0,0.0,0.0,-90.0,-65.0,13000000000.0,5.087720800487406e-06,-6.605903839831592
0.0,0.0,0.0,0.0,-90.0,-60.0,8000000000.0,3.1398292091874505e-05,14.760466747191982
0.0,0.0,0.0,0.0,-90.0,-60.0,8250000000.0,7.326891164573925e-05,172.6901826125305
0.0,0.0,0.0,0.0,-90.0,-60.0,8500000000.0,2.5651544626972643e-05,5.145324659223489
0.0,0.0,0.0,0.0,-90.0,-60.0,8750000000.0,2.0491155032671756e-05,7.821348390600148
0.0,0.0,0.0,0.0,-90.0,-60.0,9000000000.0,5.030255353429386e-05,104.22549971271444
0.0,0.0,0.0,0.0,-90.0,-60.0,9250000000.0,2.852133560588108e-05,-117.34145072436834
0.0,0.0,0.0,0.0,-90.0,-60.0,9500000000.0,1.6873314337605078e-05,-10.100031408468698
0.0,0.0,0.0,0.0,-90.0,-60.0,9750000000.0,7.241514028367342e-06,123.38622104144584
0.0,0.0,0.0,0.0,-90.0,-60.0,10000000000.0,2.3810257026906053e-05,-2.728692528429285
0.0,0.0,0.0,0.0,-90.0,-60.0,10250000000.0,1.304455076309836e-07,-41.768652751840754
0.0,0.0,0.0,0.0,-90.0,-60.0,10500000000.0,9.137074461826498e-06,43.60593939877094
0.0,0.0,0.0,0.0,-90.0,-60.0,10750000000.0,2.027310708660012e-05,-71.8944770346674
0.0,0.0,0.0,0.0,-90.0,-60.0,11000000000.0,2.0417196914697877e-05,88.39332467163526
0.0,0.0,0.0,0.0,-90.0,-60.0,11250000000.0,1.5847063552454632e-05,-26.052952508611487
0.0,0.0,0.0,0.0,-90.0,-60.0,11500000000.0,8.127600911771504e-06,170.8344733208079
0.0,0.0,0.0,0.0,-90.0,-60.0,11750000000.0,1.790861276800914e-06,52.78610702055172
0.0,0.0,0.0,0.0,-90.0,-60.0,12000000000.0,2.635984089787752e-06,-107.01880792220216
0.0,0.0,0.0,0.0,-90.0,-60.0,12250000000.0,5.426232262711669e-06,-142.53910476476923
0.0,0.0,0.0,0.0,-90.0,-60.0,12500000000.0,1.3109371513983273e-05,113.8108953661616
0.0,0.0,0.0,0.0,-90.0,-60.0,12750000000.0,8.134954439299967e-06,-87.19619321119643
0.0,0.0,0.0,0.0,-90.0,-60.0,13000000000.0,2.837638255502389e-06,-12.859841157974984
0.0,0.0,0.0,0.0,-90.0,-55.0,8000000000.0,3.095725149068833e-05,11.37892446327925
0.0,0.0,0.0,0.0,-90.0,-55.0,8250000000.0,6.641811692132246e-05,173.53452265594723
0.0,0.0,0.0,0.0,-90.0,-55.0,8500000000.0,2.45907674538675e-05,12.147151660153964
0.0,0.0,0.0,0.0,-90.0,-55.0,8750000000.0,1.6551404189778853e-05,-4.578371924292967
0.0,0.0,0.0,0.0,-90.0,-55.0,9000000000.0,4.8086141219228646e-05,102.17075159993055
0.0,0.0,0.0,0.0,-90.0,-55.0,9250000000.0,2.286744454571608e-05,-117.79965830434534
0.0,0.0,0.0,0.0,-90.0,-55.0,9500000000.0,1.3595441528450668e-05,-12.951787843925116
0.0,0.0,0.0,0.0,-90.0,-55.0,9750000000.0,8.829370700793404e-06,110.63145359612844
0.0,0.0,0.0,0.0,-90.0,-55.0,10000000000.0,2.3315064463248737e-05,-6.251977217619502
0.0,0.0,0.0,0.0,-90.0,-55.0,10250000000.0,2.5828643375733075e-06,-145.4916141104857
0.0,0.0,0.0,0.0,-90.0,-55.0,10500000000.0,1.0887215038992202e-05,39.70132977539643
0.0,0.0,0.0,0.0,-90.0,-55.0,10750000000.0,1.944595610980967e-05,-76.9705947162034
0.0,0.0,0.0,0.0,-90.0,-55.0,11000000000.0,2.0523522845881505e-05,91.60907609394997
0.0,0.0,0.0,0.0,-90.0,-55.0,11250000000.0,1.561392973775417e-05,-29.453486274329137
0.0,0.0,0.0,0.0,-90.0,-55.0,11500000000.0,8.539713101019554e-06,172.99777759168495
0.0,0.0,0.0,0.0,-90.0,-55.0,11750000000.0,2.563096068120936e-06,55.21115253761641
0.0,0.0,0.0,0.0,-90.0,-55.0,12000000000.0,1.6774285803508893e-06,-106.84863070078649
0.0,0.0,0.0,0.0,-90.0,-55.0,12250000000.0,5.714109615662093e-06,-134.74296486340276
0.0,0.0,0.0,0.0,-90.0,-55.0,12500000000.0,1.268181072794796e-05,114.15106975140895
0.0,0.0,0.0,0.0,-90.0,-55.0,12750000000.0,7.85411033175687e-06,-80.4865315985836
0.0,0.0,0.0,0.0,-90.0,-55.0,13000000000.0,9.608186742423829e-07,-21.287771482501736
0.0,0.0,0.0,0.0,-90.0,-50.0,8000000000.0,3.111942453386388e-05,7.708609671191075
0.0,0.0,0.0,0.0,-90.0,-50.0,8250000000.0,6.226978398448204e-05,174.62785392263956
0.0,0.0,0.0,0.0,-90.0,-50.0,8500000000.0,2.363055269932686e-05,19.385196248659025
0.0,0.0,0.0,0.0,-90.0,-50.0,8750000000.0,1.4504267048871378e-05,-13.870882230377156
0.0,0.0,0.0,0.0,-90.0,-50.0,9000000000.0,4.458671898138145e-05,100.70291086498514
0.0,0.0,0.0,0.0,-90.0,-50.0,9250000000.0,1.8065021189544616e-05,-115.075536389793
0.0,0.0,0.0,0.0,-90.0,-50.0,9500000000.0,1.1966524066466794e-05,-17.373399385238322
0.0,0.0,0.0,0.0,-90.0,-50.0,9750000000.0,9.660172507161815e-06,110.0834159999479
0.0,0.0,0.0,0.0,-90.0,-50.0,10000000000.0,2.24434771599729e-05,-9.167532807859216
0.0,0.0,0.0,0.0,-90.0,-50.0,10250000000.0,5.104710148679257e-06,-160.8865479746575
0.0,0.0,0.0,0.0,-90.0,-50.0,10500000000.0,1.2089916117440725e-05,38.47749049160944
0.0,0.0,0.0,0.0,-90.0,-50.0,10750000000.0,1.9282744077658764e-05,-80.22782512483943
0.0,0.0,0.0,0.0,-90.0,-50.0,11000000000.0,2.024221963852393e-05,92.9585224966678
