X,Y,Z,Polar,Azimuth,Elevation,Frequency,Magnitude,Phase
0.0,0.0,0.0,0.0,-180.0,-90.0,2300000000.0,3.004752110860728e-10,-74.22484214898333
0.0,0.0,0.0,0.0,-180.0,-90.0,2310000000.0,2.777036763337857e-10,-138.16252019765574
0.0,0.0,0.0,0.0,-180.0,-90.0,2320000000.0,2.857700512625492e-10,155.68589356186857
0.0,0.0,0.0,0.0,-180.0,-90.0,2330000000.0,2.9435068347464796e-10,92.35442260100011
0.0,0.0,0.0,0.0,-180.0,-90.0,2340000000.0,2.9290324768172164e-10,26.139408746354754
0.0,0.0,0.0,0.0,-180.0,-90.0,2350000000.0,3.107843073474753e-10,-45.15853253187172
0.0,0.0,0.0,0.0,-180.0,-90.0,2360000000.0,3.116723676593299e-10,-108.20243567651067
0.0,0.0,0.0,0.0,-180.0,-90.0,2370000000.0,2.970505423214551e-10,-179.40267950280494
0.0,0.0,0.0,0.0,-180.0,-90.0,2380000000.0,3.1315460082210195e-10,115.56118731420689
0.0,0.0,0.0,0.0,-180.0,-90.0,2390000000.0,2.9271017390893675e-10,50.632892076415374
0.0,0.0,0.0,0.0,-180.0,-90.0,2400000000.0,2.953529538501027e-10,-16.730421222314835
0.0,0.0,0.0,0.0,-180.0,-90.0,2410000000.0,3.0882737733539164e-10,-79.54280988145891
0.0,0.0,0.0,0.0,-180.0,-90.0,2420000000.0,2.992042455239731e-10,-145.1881810273908
0.0,0.0,0.0,0.0,-180.0,-90.0,2430000000.0,3.2229573258499713e-10,143.56378600139934
0.0,0.0,0.0,0.0,-180.0,-90.0,2440000000.0,3.136932128440837e-10,79.98559165118697
0.0,0.0,0.0,0.0,-180.0,-90.0,2450000000.0,3.1075084618599774e-10,8.592206441783912
0.0,0.0,0.0,0.0,-180.0,-90.0,2460000000.0,3.011706469638268e-10,-58.36071890433827
0.0,0.0,0.0,0.0,-180.0,-90.0,2470000000.0,2.92424265025254e-10,-121.17891294214421
0.0,0.0,0.0,0.0,-180.0,-90.0,2480000000.0,2.9267554572950317e-10,172.97276620086555
0.0,0.0,0.0,0.0,-180.0,-90.0,2490000000.0,3.0629136770344996e-10,110.22231425674522
0.0,0.0,0.0,0.0,-180.0,-90.0,2500000000.0,2.975692519232624e-10,44.24876750275213
0.0,0.0,0.0,0.0,-180.0,-85.0,2300000000.0,3.649157884585786e-05,-7.993852611406167
0.0,0.0,0.0,0.0,-180.0,-85.0,2310000000.0,1.4503581378679405e-05,65.3021528649299
0.0,0.0,0.0,0.0,-180.0,-85.0,2320000000.0,1.852302478028728e-05,-2.908754282963362
0.0,0.0,0.0,0.0,-180.0,-85.0,2330000000.0,2.5262080935516952e-05,169.6842390022504
0.0,0.0,0.0,0.0,-180.0,-85.0,2340000000.0,4.28619467400362e-05,-157.5098340090678
0.0,0.0,0.0,0.0,-180.0,-85.0,2350000000.0,3.2151641056227597e-05,-19.807367868868816
0.0,0.0,0.0,0.0,-180.0,-85.0,2360000000.0,1.1514474808739825e-05,179.01693725544447
0.0,0.0,0.0,0.0,-180.0,-85.0,2370000000.0,2.1253524726651813e-05,124.9637380728229
0.0,0.0,0.0,0.0,-180.0,-85.0,2380000000.0,1.4177062652700199e-05,177.61578696658245
0.0,0.0,0.0,0.0,-180.0,-85.0,2390000000.0,1.4745112310156372e-05,101.61423498767954
0.0,0.0,0.0,0.0,-180.0,-85.0,2400000000.0,4.818685207324193e-05,66.43261603828869
0.0,0.0,0.0,0.0,-180.0,-85.0,2410000000.0,5.791018548686316e-05,3.4274755503974164
0.0,0.0,0.0,0.0,-180.0,-85.0,2420000000.0,0.00011115838489469024,-97.04564503080213
0.0,0.0,0.0,0.0,-180.0,-85.0,2430000000.0,6.850955774374915e-05,-167.63378911600006
0.0,0.0,0.0,0.0,-180.0,-85.0,2440000000.0,5.86898012329587e-05,155.56379021191017
0.0,0.0,0.0,0.0,-180.0,-85.0,2450000000.0,5.019562876624318e-05,66.38266143646285
0.0,0.0,0.0,0.0,-180.0,-85.0,2460000000.0,5.021094700229821e-05,29.694497232782442
0.0,0.0,0.0,0.0,-180.0,-85.0,2470000000.0,7.077862424986798e-05,-42.34495535402151
0.0,0.0,0.0,0.0,-180.0,-85.0,2480000000.0,5.275631148305841e-05,-83.14029518089497
0.0,0.0,0.0,0.0,-180.0,-85.0,2490000000.0,4.6232689283137925e-05,-176.4053401934983
0.0,0.0,0.0,0.0,-180.0,-85.0,2500000000.0,6.0325894574360656e-05,-179.41219889039797
0.0,0.0,0.0,0.0,-180.0,-80.0,2300000000.0,1.748617165234429e-05,23.87735745011171
0.0,0.0,0.0,0.0,-180.0,-80.0,2310000000.0,1.272136635367133e-05,78.13387458786589
0.0,0.0,0.0,0.0,-180.0,-80.0,2320000000.0,2.889810383976084e-05,-25.342701686298486
0.0,0.0,0.0,0.0,-180.0,-80.0,2330000000.0,3.755885746525578e-06,-29.139549413463342
0.0,0.0,0.0,0.0,-180.0,-80.0,2340000000.0,1.9302235433061243e-05,-173.43041529001837
0.0,0.0,0.0,0.0,-180.0,-80.0,2350000000.0,1.3085829217020563e-05,7.220008883680077
0.0,0.0,0.0,0.0,-180.0,-80.0,2360000000.0,9.957179474198154e-06,-110.6154461886477
0.0,0.0,0.0,0.0,-180.0,-80.0,2370000000.0,2.187494655522614e-05,135.15005600133475
0.0,0.0,0.0,0.0,-180.0,-80.0,2380000000.0,6.50455681544254e-06,159.84476179088753
0.0,0.0,0.0,0.0,-180.0,-80.0,2390000000.0,2.9442063460319848e-05,108.68806985738857
0.0,0.0,0.0,0.0,-180.0,-80.0,2400000000.0,4.4923262439408824e-05,58.09184812227315
0.0,0.0,0.0,0.0,-180.0,-80.0,2410000000.0,6.339568436978485e-05,-7.998908474353462
0.0,0.0,0.0,0.0,-180.0,-80.0,2420000000.0,0.00010211555084092067,-91.42206342372268
0.0,0.0,0.0,0.0,-180.0,-80.0,2430000000.0,6.50429654873838e-05,-177.97309573361431
0.0,0.0,0.0,0.0,-180.0,-80.0,2440000000.0,6.030113699523169e-05,137.92807361238528
0.0,0.0,0.0,0.0,-180.0,-80.0,2450000000.0,5.554499782841656e-05,67.21686424888291
0.0,0.0,0.0,0.0,-180.0,-80.0,2460000000.0,5.191627547970771e-05,17.53952752013165
0.0,0.0,0.0,0.0,-180.0,-80.0,2470000000.0,6.111066260686428e-05,-40.64589772487698
0.0,0.0,0.0,0.0,-180.0,-80.0,2480000000.0,5.146207484356927e-05,-86.5902007668376
0.0,0.0,0.0,0.0,-180.0,-80.0,2490000000.0,5.4658401353615345e-05,-161.24293420674397
0.0,0.0,0.0,0.0,-180.0,-80.0,2500000000.0,5.770661064843979e-05,175.65371244957524
