X,Y,Z,Polar,Azimuth,Elevation,Frequency,Magnitude,Phase
0.0,0.0,0.0,0.0,-180.0,-90.0,7000000000.0,1.735065805948492e-05,-155.37696705695976
0.0,0.0,0.0,0.0,-180.0,-90.0,7300000000.0,1.547746574400567e-05,-145.69134247066458
0.0,0.0,0.0,0.0,-180.0,-90.0,7600000000.0,1.2712380486467907e-05,-137.5742842608081
0.0,0.0,0.0,0.0,-180.0,-90.0,7900000000.0,1.2512790333239666e-05,-64.60699188442898
0.0,0.0,0.0,0.0,-180.0,-90.0,8200000000.0,1.3336746792487627e-05,-16.531977352317927
0.0,0.0,0.0,0.0,-180.0,-90.0,8500000000.0,1.445576278864329e-05,40.76068372427533
0.0,0.0,0.0,0.0,-180.0,-90.0,8800000000.0,1.54637448817162e-05,85.46775175936108
0.0,0.0,0.0,0.0,-180.0,-90.0,9100000000.0,1.3181620779286931e-05,173.2200447696606
0.0,0.0,0.0,0.0,-180.0,-90.0,9400000000.0,2.8858910989877983e-06,-123.5325280405471
0.0,0.0,0.0,0.0,-180.0,-90.0,9700000000.0,5.078733404150389e-06,-110.45150638766948
0.0,0.0,0.0,0.0,-180.0,-90.0,10000000000.0,8.367476630773322e-06,6.174266124037088
0.0,0.0,0.0,0.0,-180.0,-90.0,10300000000.0,6.813823662936545e-06,109.48961628633454
0.0,0.0,0.0,0.0,-180.0,-90.0,10600000000.0,7.386965433685811e-06,-168.8321986606219
0.0,0.0,0.0,0.0,-180.0,-90.0,10900000000.0,7.963697269384177e-06,-78.93024685400113
0.0,0.0,0.0,0.0,-180.0,-90.0,11200000000.0,1.1264289255684134e-05,-6.6281820757595735
0.0,0.0,0.0,0.0,-180.0,-90.0,11500000000.0,8.071808417053578e-06,45.74459810503145
0.0,0.0,0.0,0.0,-180.0,-90.0,11800000000.0,7.805617874215275e-06,149.92238089833202
0.0,0.0,0.0,0.0,-180.0,-90.0,12100000000.0,8.861622812941318e-06,-138.8579655573385
0.0,0.0,0.0,0.0,-180.0,-90.0,12400000000.0,9.683254680316943e-06,-54.18123518952531
0.0,0.0,0.0,0.0,-180.0,-90.0,12700000000.0,7.704377458456783e-06,36.39642354930477
0.0,0.0,0.0,0.0,-180.0,-90.0,13000000000.0,9.00916339667663e-06,94.43781755917612
0.0,0.0,0.0,0.0,-180.0,-85.0,7000000000.0,1.2539120271693705e-05,164.3756990381137
0.0,0.0,0.0,0.0,-180.0,-85.0,7300000000.0,1.0970147312299366e-05,167.41723475849793
0.0,0.0,0.0,0.0,-180.0,-85.0,7600000000.0,1.0198787845686172e-05,172.5615491945357
0.0,0.0,0.0,0.0,-180.0,-85.0,7900000000.0,7.612132440382261e-06,-116.76300713084085
0.0,0.0,0.0,0.0,-180.0,-85.0,8200000000.0,7.477878734563232e-06,-51.99002183310179
0.0,0.0,0.0,0.0,-180.0,-85.0,8500000000.0,8.921819595644433e-06,7.160972574780865
0.0,0.0,0.0,0.0,-180.0,-85.0,8800000000.0,1.0070232913750556e-05,44.683733170069196
0.0,0.0,0.0,0.0,-180.0,-85.0,9100000000.0,5.956472341237303e-06,147.24801536017318
0.0,0.0,0.0,0.0,-180.0,-85.0,9400000000.0,4.323256454033884e-06,82.17581993151212
0.0,0.0,0.0,0.0,-180.0,-85.0,9700000000.0,5.97360799399291e-06,-147.95266589764975
0.0,0.0,0.0,0.0,-180.0,-85.0,10000000000.0,3.75804153479575e-06,-38.44709160132471
0.0,0.0,0.0,0.0,-180.0,-85.0,10300000000.0,4.734572830181409e-06,62.12124680626427
0.0,0.0,0.0,0.0,-180.0,-85.0,10600000000.0,3.379762505966507e-06,149.3337042807077
0.0,0.0,0.0,0.0,-180.0,-85.0,10900000000.0,4.615781691725573e-06,-140.60718787977055
0.0,0.0,0.0,0.0,-180.0,-85.0,11200000000.0,2.478945553787384e-06,-78.52111982086623
0.0,0.0,0.0,0.0,-180.0,-85.0,11500000000.0,4.538474904942877e-06,-10.519775200100666
0.0,0.0,0.0,0.0,-180.0,-85.0,11800000000.0,4.029580972723444e-06,90.10658816104693
0.0,0.0,0.0,0.0,-180.0,-85.0,12100000000.0,2.5270035489102503e-06,145.76514139269534
0.0,0.0,0.0,0.0,-180.0,-85.0,12400000000.0,2.3262335117866585e-06,-108.51150552336495
0.0,0.0,0.0,0.0,-180.0,-85.0,12700000000.0,1.5921348392327486e-06,-35.64096917265462
0.0,0.0,0.0,0.0,-180.0,-85.0,13000000000.0,1.9421403069266544e-06,67.15903270609655
0.0,0.0,0.0,0.0,-180.0,-80.0,7000000000.0,7.5130641615903295e-06,132.15582266627646
0.0,0.0,0.0,0.0,-180.0,-80.0,7300000000.0,6.891926480626153e-06,133.98746861974254
0.0,0.0,0.0,0.0,-180.0,-80.0,7600000000.0,7.717695029677709e-06,139.35746254857594
0.0,0.0,0.0,0.0,-180.0,-80.0,7900000000.0,3.7955823308731726e-06,-178.7050777660379
0.0,0.0,0.0,0.0,-180.0,-80.0,8200000000.0,3.0176038243193907e-06,-104.44278863839145
0.0,0.0,0.0,0.0,-180.0,-80.0,8500000000.0,4.343910884327739e-06,-20.58219345816321
0.0,0.0,0.0,0.0,-180.0,-80.0,8800000000.0,5.271764597876977e-06,13.266743414083846
0.0,0.0,0.0,0.0,-180.0,-80.0,9100000000.0,2.942049672282956e-06,-169.27740317252454
0.0,0.0,0.0,0.0,-180.0,-80.0,9400000000.0,4.987488125808522e-06,41.66818165526912
0.0,0.0,0.0,0.0,-180.0,-80.0,9700000000.0,3.3417247194656836e-06,-148.92002538933372
0.0,0.0,0.0,0.0,-180.0,-80.0,10000000000.0,1.711362168615983e-06,-84.76396615968814
0.0,0.0,0.0,0.0,-180.0,-80.0,10300000000.0,2.43456234038071e-06,84.52606507208336
0.0,0.0,0.0,0.0,-180.0,-80.0,10600000000.0,8.204330630654825e-07,153.4348488817462
0.0,0.0,0.0,0.0,-180.0,-80.0,10900000000.0,1.051542438401822e-06,-142.91200197143496
0.0,0.0,0.0,0.0,-180.0,-80.0,11200000000.0,1.3351761930649603e-06,66.57223249499297
0.0,0.0,0.0,0.0,-180.0,-80.0,11500000000.0,2.1027910946207567e-06,2.888760135747459
0.0,0.0,0.0,0.0,-180.0,-80.0,11800000000.0,1.0232937371217757e-06,127.8639270257428
0.0,0.0,0.0,0.0,-180.0,-80.0,12100000000.0,2.3711204100741257e-06,-90.45391844445007
0.0,0.0,0.0,0.0,-180.0,-80.0,12400000000.0,4.420365752455333e-07,21.13791176837718
0.0,0.0,0.0,0.0,-180.0,-80.0,12700000000.0,1.8612526299518855e-06,64.78628610694196
0.0,0.0,0.0,0.0,-180.0,-80.0,13000000000.0,3.1563891957314136e-06,113.12116435350364
0.0,0.0,0.0,0.0,-180.0,-75.0,7000000000.0,2.093439246142099e-06,122.61020472407368
0.0,0.0,0.0,0.0,-180.0,-75.0,7300000000.0,1.6777659271334604e-06,135.46257889109032
0.0,0.0,0.0,0.0,-180.0,-75.0,7600000000.0,3.640202822275704e-06,115.68188698464671
0.0,0.0,0.0,0.0,-180.0,-75.0,7900000000.0,1.5981939497440886e-06,106.57316730754782
0.0,0.0,0.0,0.0,-180.0,-75.0,8200000000.0,9.139885296694045e-07,60.79399136648528
0.0,0.0,0.0,0.0,-180.0,-75.0,8500000000.0,2.09758274246381e-06,53.75446793661493
0.0,0.0,0.0,0.0,-180.0,-75.0,8800000000.0,2.5441512186175175e-06,50.46295840351381
0.0,0.0,0.0,0.0,-180.0,-75.0,9100000000.0,5.07462739156167e-06,-149.62349180785745
0.0,0.0,0.0,0.0,-180.0,-75.0,9400000000.0,4.312098232517089e-06,24.539329245032302
0.0,0.0,0.0,0.0,-180.0,-75.0,9700000000.0,2.2164434437675167e-06,-98.1842237411599
0.0,0.0,0.0,0.0,-180.0,-75.0,10000000000.0,8.734827377176037e-07,5.764402296172037
0.0,0.0,0.0,0.0,-180.0,-75.0,10300000000.0,2.55489122077583e-06,97.1107250817072
0.0,0.0,0.0,0.0,-180.0,-75.0,10600000000.0,1.8435555170331161e-06,-168.63885052327998
0.0,0.0,0.0,0.0,-180.0,-75.0,10900000000.0,2.5830615224265737e-06,-83.6253868647954
0.0,0.0,0.0,0.0,-180.0,-75.0,11200000000.0,2.4248591125478696e-06,4.288468843358008
0.0,0.0,0.0,0.0,-180.0,-75.0,11500000000.0,2.7541268847569456e-06,35.54663301779357
0.0,0.0,0.0,0.0,-180.0,-75.0,11800000000.0,2.7711085267415996e-06,130.62538508852504
0.0,0.0,0.0,0.0,-180.0,-75.0,12100000000.0,3.044241118992055e-06,-157.4399237112544
0.0,0.0,0.0,0.0,-180.0,-75.0,12400000000.0,8.793171829234886e-07,-149.36459279176972
0.0,0.0,0.0,0.0,-180.0,-75.0,12700000000.0,1.2771599472279265e-06,19.711371684601588
0.0,0.0,0.0,0.0,-180.0,-75.0,13000000000.0,3.123688736717415e-06,79.28948129788913
0.0,0.0,0.0,0.0,-180.0,-70.0,7000000000.0,2.5418013926337042e-06,-169.30879658558078
0.0,0.0,0.0,0.0,-180.0,-70.0,7300000000.0,3.3355107301509314e-06,-160.4395322042613
0.0,0.0,0.0,0.0,-180.0,-70.0,7600000000.0,1.8144193263249927e-06,158.8030282669912
0.0,0.0,0.0,0.0,-180.0,-70.0,7900000000.0,5.292621635945083e-07,33.86376425661538
0.0,0.0,0.0,0.0,-180.0,-70.0,8200000000.0,1.8866516174419473e-06,-2.157661926667747
0.0,0.0,0.0,0.0,-180.0,-70.0,8500000000.0,3.777812907219864e-06,32.16464689082447
0.0,0.0,0.0,0.0,-180.0,-70.0,8800000000.0,4.228956076955281e-06,59.83837165824597
0.0,0.0,0.0,0.0,-180.0,-70.0,9100000000.0,4.68776526059486e-06,-159.38397859294264
0.0,0.0,0.0,0.0,-180.0,-70.0,9400000000.0,3.7060801394963114e-06,43.835865961343465
0.0,0.0,0.0,0.0,-180.0,-70.0,9700000000.0,2.3627480898583244e-06,-112.35180253222427
0.0,0.0,0.0,0.0,-180.0,-70.0,10000000000.0,1.5711394979777607e-06,-33.324632036686566
0.0,0.0,0.0,0.0,-180.0,-70.0,10300000000.0,2.643900295314339e-06,75.4053689243455
0.0,0.0,0.0,0.0,-180.0,-70.0,10600000000.0,1.6818963290434994e-06,135.79783443198977
